Year,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Solo,Int,Sk,College/Univ
2016,4,126,KAN,Demarcus Robinson,WR,21,2019,0,0,2,10,10,64,0,0,0,0,0,0,0,0,75,949,8,5,,,Florida
2016,4,127,CHI,Deiondre' Hall,CB,22,2018,0,0,0,2,1,23,0,0,0,0,0,0,0,0,0,0,0,10,1,,Northern Iowa
2016,4,128,ARI,Evan Boehm,C,23,2019,0,0,2,11,6,55,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri
2016,4,129,CLE,Derrick Kindred,S,22,2018,0,0,1,8,8,42,0,0,0,0,0,0,0,0,0,0,0,108,2,,TCU
2016,4,130,BAL,Alex Lewis,T,24,2019,0,0,2,12,8,35,0,0,0,0,0,0,0,0,0,0,0,,,,Nebraska
2016,4,131,GNB,Blake Martinez,LB,22,2019,0,0,4,30,30,61,0,0,0,0,0,0,0,0,0,0,0,331,3,10,Stanford
2016,4,132,BAL,Willie Henry,DT,22,2018,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,26,,4.5,Michigan
2016,4,133,SFO,Rashard Robinson,CB,21,2018,0,0,0,8,6,38,0,0,0,0,0,0,0,0,0,0,0,54,2,,LSU
2016,4,134,BAL,Kenneth Dixon,RB,22,2018,0,0,0,5,5,18,0,0,0,0,0,148,715,4,36,213,1,,,,Louisiana Tech
2016,4,135,DAL,Dak Prescott,QB,23,2019,0,2,4,56,56,64,1363,2071,15778,97,36,241,1221,21,0,0,0,,,,Mississippi St.
2016,4,136,DEN,Devontae Booker,RB,24,2019,0,0,0,11,11,61,0,0,0,0,0,289,1103,6,105,872,1,3,,,Utah
2016,4,137,GNB,Dean Lowry,DE,22,2019,0,0,3,21,21,63,0,0,0,0,0,0,0,0,0,0,0,78,1,7,Northwestern
2016,4,138,CLE,Seth Devalve,TE,23,2019,0,0,0,5,4,53,0,0,0,0,0,0,0,0,60,736,4,7,,,Princeton
2016,4,139,BUF,Cardale Jones,QB,23,2016,0,0,0,0,0,1,6,11,96,0,1,1,-1,0,0,0,0,,,,Ohio St.
2016,5,140,TEN,Tajae Sharpe,WR,21,2019,0,0,2,11,11,47,0,0,0,0,0,2,17,0,92,1167,8,,,,Massachusetts
2016,5,141,CAR,Zack Sanchez,CB,22,2016,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,5,,,Oklahoma
2016,5,142,SFO,Ronald Blair,DE,23,2019,0,0,0,6,6,47,0,0,0,0,0,0,0,0,0,0,0,59,,13.5,Appalachian St.
